,受付,接客1,接客2,接客3,接客4,接客5
06:00,すずき,すずき,すずき,すずき,すずき,すずき
06:30,たなか,たなか,たなか,たなか,たなか,たなか
07:00,すずき,すずき,すずき,すずき,すずき,すずき
07:30,たなか,たなか,たなか,たなか,たなか,たなか
08:00,すずき,すずき,すずき,すずき,すずき,すずき
08:30,たなか,たなか,たなか,たなか,たなか,たなか
09:00,すずき,すずき,すずき,すずき,すずき,すずき
09:30,たなか,たなか,たなか,たなか,たなか,たなか
10:00,すずき,すずき,すずき,すずき,すずき,すずき
10:30,たなか,たなか,たなか,たなか,たなか,たなか
11:00,すずき,すずき,すずき,すずき,すずき,すずき
11:30,たなか,たなか,たなか,たなか,たなか,たなか
12:00,すずき,すずき,すずき,すずき,すずき,すずき
12:30,たなか,たなか,たなか,たなか,たなか,たなか
13:00,すずき,すずき,すずき,すずき,すずき,すずき
13:30,すずき,すずき,すずき,すずき,すずき,すずき
